filterID,method,glutenFree,vegetarian,vegan,noNuts,lactoseFree,calories
1,Oven,0,1,0,1,0,100
2,Grill,0,0,0,1,0,150
3,Stovetop,1,0,0,1,0,8
4,Stovetop,1,0,0,1,1,681
5,Stovetop,1,0,0,1,1,25
6,Raw,0,1,1,1,0,100
7,Deepfry,0,0,0,1,0,150
8,Raw,0,1,1,0,0,8
9,Stovetop,0,0,0,1,1,681
10,Stovetop,0,1,0,1,0,25
11,Grill,1,0,0,1,1,100
12,Grill,1,0,0,1,1,150
13,Grill,1,1,1,1,1,8
14,Grill,1,0,0,1,0,681
15,Grill,0,0,0,1,0,25
16,Raw,1,1,1,0,1,100
17,Raw,1,1,1,0,1,150
18,Raw,0,0,0,1,1,8
19,Raw,1,1,1,1,1,681
20,Raw,1,0,0,1,1,25
21,Microwave,0,1,0,1,0,100
22,Microwave,1,1,0,0,0,150
23,Deepfry,0,1,0,1,0,8
24,Deepfry,0,0,0,1,1,681
25,Stovetop,0,0,0,1,0,25
26,Stovetop,1,1,1,1,1,100
27,Stovetop,0,1,0,1,1,150
28,Deepfry,0,1,0,0,0,8
29,Microwave,1,0,0,1,0,681
30,Microwave,1,1,0,1,0,25
31,Microwave,0,1,0,1,0,100
32,Deepfry,0,1,0,1,1,150
33,Stovetop,1,0,0,1,0,8
34,Deepfry,0,0,0,1,0,681
35,Deepfry,0,0,0,1,1,25
36,Microwave,1,1,1,1,1,100
37,Microwave,1,1,1,1,1,150
38,Microwave,1,1,1,1,1,8
39,Microwave,0,1,0,1,0,681
40,Microwave,1,1,0,1,0,25
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
141,Steam,1,1,1,1,1,150
142,Steam,0,1,0,1,0,180
143,Steam,1,0,0,1,1,N/A
144,Steam,0,0,0,1,0,590
145,Steam,1,1,0,1,1,150
146,Steam,0,0,0,1,1,390
147,,,,,,,
148,,,,,,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,,,,,,,
156,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,,,,,,,
161,,,,,,,
